t                    , id, n, n_cum
 8.875               , 11, 0,     0
 8.916666666666666   , 11, 0,     0
 8.958333333333332   , 11, 0,     0
 9                   , 11, 0,     0
 9.041666666666666   , 11, 0,     0
 9.083333333333332   , 11, 0,     0
 9.125               , 11, 0,     0
 9.166666666666666   , 11, 0,     0
 9.208333333333332   , 11, 0,     0
 9.25                , 11, 0,     0
 9.291666666666666   , 11, 0,     0
 9.333333333333332   , 11, 0,     0
 9.375               , 11, 0,     0
 9.416666666666666   , 11, 0,     0
 9.458333333333332   , 11, 0,     0
 9.5                 , 11, 0,     0
 9.541666666666666   , 11, 0,     0
 9.583333333333332   , 11, 0,     0
 9.625               , 11, 0,     0
 9.666666666666666   , 11, 0,     0
 9.708333333333332   , 11, 0,     0
 9.75                , 11, 0,     0
 9.791666666666666   , 11, 0,     0
 9.833333333333332   , 11, 0,     0
 9.875               , 11, 0,     0
 9.916666666666666   , 11, 0,     0
 9.958333333333332   , 11, 0,     0
10                   , 11, 0,     0
10.041666666666666   , 11, 0,     0
10.083333333333332   , 11, 0,     0
10.125               , 11, 0,     0
10.166666666666666   , 11, 0,     0
10.208333333333332   , 11, 0,     0
10.25                , 11, 0,     0
10.291666666666666   , 11, 0,     0
10.333333333333332   , 11, 0,     0
10.375               , 11, 0,     0
10.416666666666666   , 11, 0,     0
10.458333333333332   , 11, 0,     0
10.5                 , 11, 0,     0
10.541666666666666   , 11, 0,     0
10.583333333333332   , 11, 0,     0
10.625               , 11, 0,     0
10.666666666666666   , 11, 0,     0
10.708333333333332   , 11, 0,     0
10.75                , 11, 0,     0
10.791666666666666   , 11, 0,     0
10.833333333333332   , 11, 0,     0
10.875               , 11, 0,     0
10.916666666666666   , 11, 0,     0
10.958333333333332   , 11, 0,     0
11                   , 11, 0,     0
11.041666666666666   , 11, 0,     0
11.083333333333332   , 11, 0,     0
11.125               , 11, 0,     0
11.166666666666666   , 11, 0,     0
11.208333333333332   , 11, 0,     0
11.25                , 11, 0,     0
11.291666666666666   , 11, 0,     0
11.333333333333332   , 11, 0,     0
11.375               , 11, 0,     0
11.416666666666666   , 11, 0,     0
11.458333333333332   , 11, 0,     0
11.5                 , 11, 0,     0
11.541666666666666   , 11, 0,     0
11.583333333333332   , 11, 0,     0
11.625               , 11, 0,     0
11.666666666666666   , 11, 0,     0
11.708333333333332   , 11, 0,     0
11.75                , 11, 0,     0
11.791666666666666   , 11, 0,     0
11.833333333333332   , 11, 0,     0
11.875               , 11, 0,     0
11.916666666666666   , 11, 0,     0
11.958333333333332   , 11, 0,     0
12                   , 11, 0,     0
12.041666666666666   , 11, 0,     0
12.083333333333332   , 11, 0,     0
12.125               , 11, 0,     0
12.166666666666666   , 11, 0,     0
12.208333333333332   , 11, 0,     0
12.25                , 11, 0,     0
12.291666666666666   , 11, 0,     0
12.333333333333332   , 11, 0,     0
12.375               , 11, 0,     0
12.416666666666666   , 11, 0,     0
12.458333333333332   , 11, 0,     0
12.5                 , 11, 0,     0
12.541666666666666   , 11, 0,     0
12.583333333333332   , 11, 0,     0
12.625               , 11, 0,     0
12.666666666666666   , 11, 0,     0
12.708333333333332   , 11, 0,     0
12.75                , 11, 0,     0
12.791666666666666   , 11, 0,     0
12.833333333333332   , 11, 0,     0
12.875               , 11, 0,     0
12.916666666666666   , 11, 0,     0
12.958333333333332   , 11, 0,     0
13                   , 11, 0,     0
13.041666666666666   , 11, 0,     0
13.083333333333332   , 11, 0,     0
13.125               , 11, 0,     0
13.166666666666666   , 11, 0,     0
13.208333333333332   , 11, 0,     0
13.25                , 11, 0,     0
13.291666666666666   , 11, 0,     0
13.333333333333332   , 11, 0,     0
13.375               , 11, 0,     0
13.416666666666666   , 11, 0,     0
13.458333333333332   , 11, 0,     0
13.5                 , 11, 0,     0
13.541666666666666   , 11, 0,     0
13.583333333333332   , 11, 0,     0
13.625               , 11, 0,     0
13.666666666666666   , 11, 0,     0
13.708333333333332   , 11, 0,     0
13.75                , 11, 0,     0
13.791666666666666   , 11, 0,     0
13.833333333333332   , 11, 0,     0
13.875               , 11, 0,     0
13.916666666666666   , 11, 0,     0
13.958333333333332   , 11, 0,     0
14                   , 11, 0,     0
14.041666666666666   , 11, 0,     0
14.083333333333332   , 11, 0,     0
14.125               , 11, 0,     0
14.166666666666666   , 11, 0,     0
14.208333333333332   , 11, 0,     0
14.25                , 11, 0,     0
14.291666666666666   , 11, 0,     0
14.333333333333332   , 11, 0,     0
14.375               , 11, 0,     0
14.416666666666666   , 11, 0,     0
14.458333333333332   , 11, 0,     0
14.5                 , 11, 0,     0
14.541666666666666   , 11, 0,     0
14.583333333333332   , 11, 0,     0
14.625               , 11, 0,     0
14.666666666666666   , 11, 0,     0
14.708333333333332   , 11, 0,     0
14.75                , 11, 0,     0
14.791666666666666   , 11, 0,     0
14.833333333333332   , 11, 0,     0
14.875               , 11, 0,     0
14.916666666666666   , 11, 0,     0
14.958333333333332   , 11, 0,     0
15                   , 11, 0,     0
15.041666666666666   , 11, 0,     0
15.083333333333332   , 11, 0,     0
15.125               , 11, 0,     0
15.166666666666666   , 11, 0,     0
15.208333333333332   , 11, 0,     0
15.25                , 11, 0,     0
15.291666666666666   , 11, 0,     0
15.333333333333332   , 11, 0,     0
15.375               , 11, 0,     0
15.416666666666666   , 11, 0,     0
15.458333333333332   , 11, 0,     0
15.5                 , 11, 0,     0
15.541666666666666   , 11, 0,     0
15.583333333333332   , 11, 0,     0
15.625               , 11, 0,     0
15.666666666666666   , 11, 0,     0
15.708333333333332   , 11, 0,     0
15.75                , 11, 0,     0
15.791666666666666   , 11, 0,     0
15.833333333333332   , 11, 0,     0
15.875               , 11, 0,     0
15.916666666666666   , 11, 0,     0
15.958333333333332   , 11, 0,     0
16                   , 11, 0,     0
16.041666666666664   , 11, 0,     0
16.083333333333332   , 11, 0,     0
16.125               , 11, 0,     0
16.166666666666664   , 11, 0,     0
16.208333333333332   , 11, 0,     0
16.25                , 11, 0,     0
16.291666666666664   , 11, 0,     0
16.333333333333332   , 11, 0,     0
16.375               , 11, 0,     0
16.416666666666664   , 11, 0,     0
16.458333333333332   , 11, 0,     0
16.5                 , 11, 0,     0
16.541666666666664   , 11, 0,     0
16.583333333333332   , 11, 0,     0
16.625               , 11, 0,     0
16.666666666666664   , 11, 0,     0
16.708333333333332   , 11, 0,     0
16.75                , 11, 0,     0
16.791666666666664   , 11, 0,     0
16.833333333333332   , 11, 0,     0
16.875               , 11, 0,     0
16.916666666666664   , 11, 0,     0
16.958333333333332   , 11, 0,     0
17                   , 11, 0,     0
17.041666666666664   , 11, 0,     0
17.083333333333332   , 11, 0,     0
17.125               , 11, 0,     0
17.166666666666664   , 11, 0,     0
17.208333333333332   , 11, 0,     0
17.25                , 11, 0,     0
17.291666666666664   , 11, 0,     0
17.333333333333332   , 11, 0,     0
17.375               , 11, 0,     0
17.416666666666664   , 11, 0,     0
17.458333333333332   , 11, 0,     0
17.5                 , 11, 0,     0
17.541666666666664   , 11, 0,     0
17.583333333333332   , 11, 0,     0
17.625               , 11, 0,     0
17.666666666666664   , 11, 0,     0
17.708333333333332   , 11, 0,     0
17.75                , 11, 0,     0
17.791666666666664   , 11, 0,     0
17.833333333333332   , 11, 0,     0
17.875               , 11, 0,     0
17.916666666666664   , 11, 0,     0
17.958333333333332   , 11, 0,     0
18                   , 11, 0,     0
18.041666666666664   , 11, 0,     0
18.083333333333332   , 11, 0,     0
18.125               , 11, 0,     0
18.166666666666664   , 11, 0,     0
18.208333333333332   , 11, 0,     0
18.25                , 11, 0,     0
18.291666666666664   , 11, 0,     0
18.333333333333332   , 11, 0,     0
18.375               , 11, 0,     0
18.416666666666664   , 11, 0,     0
18.458333333333332   , 11, 0,     0
18.5                 , 11, 0,     0
18.541666666666664   , 11, 0,     0
18.583333333333332   , 11, 0,     0
18.625               , 11, 0,     0
18.666666666666664   , 11, 0,     0
18.708333333333332   , 11, 0,     0
18.75                , 11, 0,     0
18.791666666666664   , 11, 0,     0
18.833333333333332   , 11, 0,     0
18.875               , 11, 0,     0
18.916666666666664   , 11, 0,     0
18.958333333333332   , 11, 0,     0
19                   , 11, 0,     0
19.041666666666664   , 11, 0,     0
19.083333333333332   , 11, 0,     0
19.125               , 11, 0,     0
19.166666666666664   , 11, 0,     0
19.208333333333332   , 11, 0,     0
19.25                , 11, 0,     0
19.291666666666664   , 11, 0,     0
19.333333333333332   , 11, 0,     0
19.375               , 11, 0,     0
19.416666666666664   , 11, 0,     0
19.458333333333332   , 11, 0,     0
19.5                 , 11, 0,     0
19.541666666666664   , 11, 0,     0
19.583333333333332   , 11, 0,     0
19.625               , 11, 0,     0
19.666666666666664   , 11, 0,     0
19.708333333333332   , 11, 0,     0
19.75                , 11, 0,     0
19.791666666666664   , 11, 0,     0
19.833333333333332   , 11, 0,     0
19.875               , 11, 0,     0
19.916666666666664   , 11, 0,     0
19.958333333333332   , 11, 0,     0
20                   , 11, 0,     0
 0                   , 12, 0,     0
 0.041666666666666664, 12, 0,     0
 0.08333333333333333 , 12, 0,     0
 0.125               , 12, 0,     0
 0.16666666666666666 , 12, 0,     0
 0.20833333333333331 , 12, 0,     0
 0.25                , 12, 0,     0
 0.29166666666666663 , 12, 0,     0
 0.3333333333333333  , 12, 0,     0
 0.375               , 12, 0,     0
 0.41666666666666663 , 12, 0,     0
 0.4583333333333333  , 12, 0,     0
 0.5                 , 12, 0,     0
 0.5416666666666666  , 12, 0,     0
 0.5833333333333333  , 12, 0,     0
 0.625               , 12, 0,     0
 0.6666666666666666  , 12, 0,     0
 0.7083333333333333  , 12, 0,     0
 0.75                , 12, 0,     0
 0.7916666666666666  , 12, 0,     0
 0.8333333333333333  , 12, 0,     0
 0.875               , 12, 0,     0
 0.9166666666666666  , 12, 0,     0
 0.9583333333333333  , 12, 0,     0
 1                   , 12, 0,     0
 1.0416666666666665  , 12, 0,     0
 1.0833333333333333  , 12, 0,     0
 1.125               , 12, 0,     0
 1.1666666666666665  , 12, 0,     0
 1.2083333333333333  , 12, 0,     0
 1.25                , 12, 0,     0
 1.2916666666666665  , 12, 0,     0
 1.3333333333333333  , 12, 0,     0
 1.375               , 12, 0,     0
 1.4166666666666665  , 12, 0,     0
